value_id,value_name,timestamp_utc,real_value,sync_id,sync_timestamp_utc
74,Totaliser,2024-03-22T08:27:07.1910000+00:00,639150.125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:27:37.1910000+00:00,639150.1875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:28:07.1910000+00:00,639150.25,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:28:37.1910000+00:00,639150.3125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:29:07.1910000+00:00,639150.4375,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:29:37.1910000+00:00,639150.5,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:30:07.1910000+00:00,639150.5625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:30:37.1910000+00:00,639150.625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:31:07.1910000+00:00,639150.625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:31:37.1910000+00:00,639150.75,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:32:07.1910000+00:00,639150.8125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:32:37.1910000+00:00,639150.875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:33:07.1910000+00:00,639150.9375,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:33:37.1910000+00:00,639151,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:34:07.1910000+00:00,639151.0625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:34:37.1910000+00:00,639151.1875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:35:07.1910000+00:00,639151.25,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:35:37.1910000+00:00,639151.3125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:36:07.1910000+00:00,639151.375,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:36:37.1910000+00:00,639151.4375,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:37:07.1910000+00:00,639151.5,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:37:37.1910000+00:00,639151.5625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:38:07.1910000+00:00,639151.6875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:38:37.1910000+00:00,639151.75,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:39:07.1910000+00:00,639151.8125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:39:37.1910000+00:00,639151.875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:40:07.1910000+00:00,639152,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:40:37.1910000+00:00,639152.0625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:41:07.1910000+00:00,639152.125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:41:37.1910000+00:00,639152.1875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:42:07.1910000+00:00,639152.25,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:42:37.1910000+00:00,639152.3125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:43:07.1910000+00:00,639152.375,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:43:37.1910000+00:00,639152.4375,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:44:07.1910000+00:00,639152.5,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:44:37.1910000+00:00,639152.5625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:45:07.1910000+00:00,639152.6875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:45:37.1910000+00:00,639152.75,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:46:07.1910000+00:00,639152.8125,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:46:37.1910000+00:00,639152.875,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:47:07.1910000+00:00,639152.9375,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:47:37.1910000+00:00,639153.0625,1774519009407,2026-03-26T09:56:49.4079472+00:00
74,Totaliser,2024-03-22T08:48:07.1910000+00:00,639153.125,1774519009407,2026-03-26T09:56:49.4079472+00:00
